fdcId,description,Calcium(Milligrams),Calories,Iron(Milligrams),Magnesium(Milligrams),Potassium(Milligrams),Protein(Grams),Vitamin A(Micrograms),Vitamin B-12(Micrograms),Vitamin C(Milligrams),Vitamin D(Micrograms),Zinc(Milligrams)
2705709,"Cheese, Cheddar",707.0,409.0,0.16,27.0,77.0,23.3,316.0,1.06,0.0,0.6,3.67
2705710,"Cheese, Cheddar, reduced fat",761.0,316.0,0.12,27.0,63.0,27.4,145.0,1.41,0.0,0.3,4.44
2705711,"Cheese, Cheddar, nonfat or fat free",893.0,157.0,0.0,16.0,66.0,32.1,60.0,0.49,0.0,0.1,1.82
2705712,"Cheese, Colby",685.0,394.0,0.76,26.0,127.0,23.8,264.0,0.83,0.0,0.6,3.07
2705713,"Cheese, Colby Jack",700.0,393.0,0.38,28.0,105.0,23.2,228.0,0.83,0.0,0.3,3.42
2705714,"Cheese, Feta",371.0,273.0,0.07,18.0,105.0,19.7,147.0,1.69,0.0,0.0,2.35
2705715,"Cheese, Fontina",550.0,389.0,0.23,14.0,64.0,25.6,261.0,1.68,0.0,0.6,3.5
2705716,"Cheese, goat",298.0,364.0,1.62,29.0,158.0,21.6,407.0,0.22,0.0,0.5,0.66
2705717,"Cheese, Gouda or Edam",700.0,356.0,0.24,29.0,121.0,24.9,165.0,1.54,0.0,0.5,3.9
2705718,"Cheese, Gruyere",1010.0,413.0,0.17,36.0,81.0,29.8,271.0,1.6,0.0,0.6,3.9
2705719,"Cheese, Limburger",497.0,327.0,0.13,21.0,128.0,20.0,340.0,1.04,0.0,0.5,2.1
2705720,"Cheese, Monterey",715.0,392.0,0.0,30.0,83.0,22.6,192.0,0.83,0.0,0.0,3.78
2705721,"Cheese, Monterey, reduced fat",705.0,313.0,0.72,27.0,81.0,28.2,142.0,0.83,0.0,0.4,3.0
2705722,"Cheese, Mozzarella, NFS",693.0,296.0,0.2,27.0,116.0,23.7,203.0,1.65,0.0,0.4,3.62
2705723,"Cheese, Mozzarella, part skim",693.0,296.0,0.2,27.0,116.0,23.7,203.0,1.65,0.0,0.4,3.62
2705724,"Cheese, Mozzarella, reduced sodium",731.0,280.0,0.25,26.0,95.0,27.5,137.0,0.92,0.0,0.3,3.13
2705725,"Cheese, Mozzarella, nonfat or fat free",961.0,141.0,0.31,33.0,106.0,31.7,127.0,0.92,0.0,0.0,3.92
2705726,"Cheese, Muenster",717.0,368.0,0.41,27.0,134.0,23.4,298.0,1.47,0.0,0.6,2.81
2705727,"Cheese, Muenster, reduced fat",529.0,271.0,0.41,27.0,134.0,24.7,175.0,1.47,0.0,0.3,2.81
2705728,"Cheese, Parmesan, dry grated",917.0,412.0,0.3,35.0,129.0,29.9,230.0,1.38,0.0,0.2,4.47
2705729,"Cheese, Parmesan, dry grated, reduced fat",842.0,395.0,2.72,38.0,392.0,34.8,134.0,1.23,0.0,0.2,3.66
2705730,"Cheese, Parmesan, hard",917.0,412.0,0.3,35.0,129.0,29.9,230.0,1.38,0.0,0.2,4.47
2705731,"Cheese, Parmesan, dry grated, fat free",800.0,370.0,5.0,40.0,600.0,40.0,40.0,1.1,0.0,0.0,3.0
2705732,"Cheese, Port du Salut",700.0,356.0,0.24,29.0,121.0,24.9,165.0,1.54,0.0,0.5,3.9
2705733,"Cheese, Provolone",749.0,357.0,0.0,30.0,95.0,23.4,200.0,1.46,0.0,0.0,3.89
2705734,"Cheese, provolone, reduced fat",756.0,274.0,0.52,28.0,138.0,24.7,141.0,1.46,0.0,0.3,3.23
2705735,"Cheese, Swiss",890.0,393.0,0.13,33.0,71.0,27.0,292.0,3.02,0.0,0.0,4.37
2705736,"Cheese, Swiss, reduced sodium",961.0,374.0,0.17,36.0,111.0,28.4,216.0,1.68,0.0,0.5,3.9
2705737,"Cheese, Swiss, reduced fat",961.0,179.0,0.17,36.0,111.0,28.4,40.0,1.68,0.0,0.1,3.9
2705738,"Cheese, Swiss, nonfat or fat free",961.0,127.0,0.17,36.0,111.0,28.4,40.0,1.68,0.0,0.1,3.9
2705739,"Cheese, Cheddar, reduced sodium",703.0,398.0,0.72,27.0,112.0,24.4,264.0,0.83,0.0,0.6,3.09
2705740,"Cheese, paneer",597.0,299.0,0.0,58.0,728.0,15.9,155.0,2.62,0.0,5.3,2.04
2705741,"Cheese, Mexican blend",665.0,362.0,0.05,28.0,93.0,21.9,213.0,1.19,0.0,0.2,3.49
2705742,"Cheese, Mexican blend, reduced fat",1150.0,282.0,0.13,35.0,93.0,24.7,155.0,1.66,0.0,0.4,4.3
2705747,"Cheese, cottage, NFS",103.0,82.0,0.13,9.0,120.0,11.0,69.0,0.42,0.0,0.0,0.61
2705748,"Cheese, cottage, creamed, large or small curd",88.0,103.0,0.0,9.0,124.0,11.6,36.0,0.66,0.0,0.1,0.45
2705749,"Cottage cheese, farmer's",83.0,148.0,0.0,8.0,117.0,11.0,82.0,0.62,0.0,0.1,0.42
2705750,"Cheese, Ricotta",248.0,148.0,0.27,18.0,178.0,9.6,117.0,0.54,0.0,0.2,0.95
2705751,"Cheese, cottage, with fruit",88.0,74.0,0.15,9.0,116.0,9.41,61.0,0.36,0.3,0.0,0.53
2705752,"Cheese, cottage, with vegetables",91.0,79.0,0.23,11.0,127.0,9.78,91.0,0.36,0.5,0.0,0.59
2705753,"Cheese, cottage, dry curd",86.0,72.0,0.15,11.0,137.0,10.3,2.0,0.46,0.0,0.0,0.47
2705754,"Cheese, cottage, salted, dry curd",86.0,71.0,0.15,11.0,136.0,10.2,2.0,0.46,0.0,0.0,0.46
2705756,"Cheese, cottage, low fat",103.0,82.0,0.13,9.0,120.0,11.0,69.0,0.42,0.0,0.0,0.61
2705757,"Cheese, cottage, lowfat, with fruit",71.0,85.0,0.1,10.0,122.0,7.3,46.0,0.27,18.8,0.0,0.43
2705758,"Cheese, cottage, lowfat, low sodium",61.0,72.0,0.14,5.0,86.0,12.4,11.0,0.63,0.0,0.0,0.38
2705759,"Cheese, cottage, lowfat, lactose reduced",103.0,82.0,0.13,9.0,120.0,11.0,69.0,0.42,0.0,0.0,0.61
2705760,"Cream cheese, regular, plain",97.0,343.0,0.0,9.0,125.0,5.79,274.0,0.0,0.0,0.0,0.59
2705761,"Cream cheese, regular, flavored",165.0,275.0,0.06,12.0,160.0,8.23,169.0,0.29,0.0,0.0,0.81
2705762,"Cream cheese, light",182.0,264.0,0.06,13.0,176.0,9.09,186.0,0.32,0.0,0.0,0.89
2705763,"Cheese, American and Swiss blends",1060.0,340.0,0.74,30.0,207.0,16.8,262.0,1.48,0.0,6.5,2.37
2705764,"Cheese, American",1060.0,340.0,0.74,30.0,207.0,16.8,262.0,1.48,0.0,6.5,2.37
2705765,"Cheese, American, reduced fat",529.0,240.0,0.2,33.0,330.0,17.6,250.0,1.11,0.0,5.3,2.36
2705766,"Cheese, American, nonfat or fat free",789.0,126.0,0.0,115.0,393.0,21.0,56.0,1.85,0.0,0.1,4.11
2705767,"Cheese, American, reduced sodium",616.0,376.0,0.39,22.0,162.0,22.2,254.0,0.7,0.0,0.6,2.99
2705769,"Cream cheese, fat free",351.0,105.0,0.19,22.0,278.0,15.7,11.0,0.95,0.0,0.0,1.5
2705770,"Cheese, processed cheese food",1380.0,307.0,0.95,34.0,295.0,16.1,270.0,1.52,0.0,6.5,2.21
2705771,"Cheese, processed, with vegetables",393.0,356.0,0.16,18.0,101.0,14.1,285.0,0.52,4.2,0.3,2.08
